soilhealthcard_conform.state,soilhealthcard_conform.district,soilhealthcard_conform.village,soilhealthcard_conform.soil_sample_id,soilhealthcard_conform.ph,soilhealthcard_conform.ec,soilhealthcard_conform.oc,soilhealthcard_conform.n,soilhealthcard_conform.p,soilhealthcard_conform.k,soilhealthcard_conform.s,soilhealthcard_conform.zn,soilhealthcard_conform.fe,soilhealthcard_conform.cu,soilhealthcard_conform.mn,soilhealthcard_conform.farm_lat,soilhealthcard_conform.farm_long,soilhealthcard_conform.collection_date,soilhealthcard_conform.units,soilhealthcard_conform.irrigation,soilhealthcard_conform.event_date
Haryana,Hisar,Badala(102),HR61096/2018-19/133800313,7.4,,0.49,,31.6,230,,0.51,4.13,0.31,14.69,29.304989,75.90459,05/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Badala(102),HR61096/2018-19/133809199,7.2,,0.46,,17.1,165,,0.65,4.77,0.3,9.98,29.228365,75.929428,03/05/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133848168,7.9,0.61,0.36,,10.4,172,62.64,0.67,2.86,0.35,2.95,29.047645,76.170437,01/04/18,,Irrigated,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133885583,7.4,0.26,0.39,,20.5,198,86.46,0.63,2.77,0.24,2.92,29.043325,76.141551,01/04/18,,Irrigated,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133920440,7.4,0.4,0.31,,7.6,236,58.27,0.57,2.56,0.27,3.91,29.037778,76.14648,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133937902,7.5,,0.44,,2.5,184,95.01,0.51,5.57,0.27,7.1,29.032426,76.165657,20/04/18,,Irrigated,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133943533,7.5,0.2,0.27,,2.8,280,77.56,0.74,9.1,0.41,4.14,29.028488,76.142899,20/04/18,,Irrigated,27/02/21
Haryana,Hisar,Banda Heri (24),HR61090/2018-19/133947881,7.5,,0.32,,21.4,216,,0.99,2.52,0.57,4.26,29.025893,76.158792,20/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86385044,7.2,,0.45,,48.92,110.07,,3.94,19.62,8,17.18,29.5803,76.13393,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86385935,7.8,,0.17,,27.72,114.71,69.64,4.53,4.78,7.87,7.63,29.5803,76.12516,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86386786,7.1,,0.36,,11.83,123.45,62.2,4.67,13.7,8.3,7.08,29.5803,76.13194,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86387556,7.6,,0.14,,20.83,232.29,69.82,5.77,17.6,1.87,4.73,29.5803,76.15552,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86388354,7.2,,0.17,,19.1,86.55,48.23,3.18,1.84,7.7,1.19,29.5803,76.11308,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Azam Shahpur(95),HR61098/2016-17/86389298,7.2,,0.21,,37.11,156.51,41.97,3.73,6.62,8.33,5.19,29.5803,76.12234,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90330611,7.4,0.82,0.39,,9.35,108.46,23.27,0.26,1.25,0.73,1.42,28.8987,76.12417,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90394489,7.7,,0.45,,14.77,167.64,86.65,0.82,5.91,0.91,4.11,28.8987,76.12519,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90432281,7.3,0.2,0.35,,16.64,288.51,,2.67,2.96,0.57,4.94,28.8987,76.13818,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90486223,7.4,,0.47,,18.33,331.29,,3.07,3.88,0.66,5.73,28.8987,76.13834,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90512357,7.6,0.96,0.42,,12.57,211.19,95.14,1.49,3.77,1.28,2.99,28.8999,76.12742,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90579427,7.9,0.85,0.45,,19.85,196.34,34.87,0.64,4.26,1.28,2.72,28.8989,76.14079,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bass Badshahpur (97),HR61110/2016-17/90589841,7.8,,0.44,,12.47,177.34,57.02,1.26,6.2,0.92,1.77,28.8987,76.15083,30/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83168397,7.7,,0.35,,66.99,,57.12,0.75,7.19,0.71,4.59,29.5803,76.13726,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83169052,7.3,,0.08,,41.28,89.07,,3.88,12.87,0.95,5.6,29.5803,76.13624,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83169717,7.6,0.85,0.14,,,,,3.34,9.83,0.65,7.03,29.5803,76.14404,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83170008,7.5,,0.35,,113.41,,90.39,1.77,11.46,0.98,12.25,29.5803,76.15846,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83170677,7.7,,0.27,,134.99,118.65,,1.72,5.98,1.23,16.84,29.5803,76.15627,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2016-17/83171297,7.2,,0.3,,49.24,425.64,69.33,0.85,4.86,0.56,2.7,29.5803,76.15594,,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2017-18/134913035,7.7,0.21,0.27,,15.5,216,,1.62,19.12,0.73,46.25,29.4061,76.12381,05/01/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2017-18/134989570,7.6,0.42,0.45,,13.4,240,112.2,1.64,18.39,0.69,43.87,29.4481,76.12421,05/03/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2017-18/135050289,7.3,0.6,0.43,,3.5,142,49.29,0.92,15.68,0.38,5.55,29.4809,76.13841,05/03/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/134988120,7.3,0.36,0.3,,12.6,176,,2.02,2.84,0.67,3.96,29.4348,76.15642,05/09/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135110952,7.3,0.93,0.51,,15.3,244,119.53,1.87,6.75,0.26,6.86,29.4891,76.14722,05/08/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135223481,7.3,0.84,0.4,,7.5,200,,2.67,8.21,0.7,6.48,29.4235,76.15344,05/10/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135813772,7.6,0.88,0.55,,19.7,272,,1.59,18.27,0.83,54.25,29.09602,76.12482,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135893312,7,,1.55,,13.2,224,52.41,1.66,18.72,0.67,45.87,29.0949,76.12439,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135936557,7.1,0.8,0.37,,5.48,142,76.36,2.01,14.29,0.75,4.63,29.08862,76.13492,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135939030,7.4,,0.46,,14.3,136,,1.66,5.55,0.55,5.57,29.09272,76.14639,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bhaklana(94),HR61100/2018-19/135961615,7.3,0.85,0.36,,15.3,136,,1.88,3.4,0.56,5.01,29.08585,76.14383,10/04/18,,Irrigated,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78298061,7.3,,0.51,,42.4,426.27,,3.92,,2.73,7.79,29.09383,75.56378,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78299117,7.2,,0.18,,32.52,459.2,,3.71,,3.48,15.73,29.09092,75.56233,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78299784,7.4,,0.49,,82.73,265.04,36.19,1.4,2.01,0.78,2.66,29.11265,75.542427,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78300780,7.7,,0.39,,,275.04,76.44,1.18,1.92,0.23,2.69,29.105682,75.56828,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78301772,7.3,,0.27,,,305.05,,0.77,2.68,0.6,3.07,29.104911,75.554038,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78302544,7.7,,0.17,,,230.03,95.47,1.28,2.74,0.87,2.85,29.104825,75.561755,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78303324,7.2,,0.14,,,170.03,85.8,1.32,2.23,0.51,2.78,29.10424,75.561291,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78304035,7.4,,0.27,,,440.07,33.07,1.26,2.14,0.49,2.95,29.101678,75.55522,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78304780,7.7,,0.3,,24.15,319.42,,2.37,31.2,4.14,9.32,29.1009,75.57076,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2016-17/78305408,7.4,0.48,0.27,,28.4,366.46,,3.28,,2.78,21.22,29.10004,75.55363,06/02/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2018-19/133643620,7.3,0.63,0.3,,13.2,212,73.12,0.57,2.59,0.72,3.88,29.104894,75.56181,06/06/18,,Irrigated Borewell,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2018-19/133653908,7.9,0.96,0.32,,17.1,260,50.16,0.87,4.27,1.87,5.43,29.11265,75.542427,01/06/18,,Irrigated Well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2018-19/133658412,7.9,,0.4,,4.2,160,110.31,1.84,3.19,0.21,7.79,29.111676,75.544185,02/06/18,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2018-19/133674143,7.7,0.99,0.29,,16.8,164,54.69,3.02,2.39,0.96,2.27,29.11094,75.56769,02/06/18,,Irrigated Borewell,27/02/21
Haryana,Hisar,Bhatla(113),HR61066/2018-19/133722544,7.2,,0.36,,1.8,222,52.39,0.61,3.29,0.72,6.82,29.103808,75.563951,07/06/18,,Irrigated Well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86389997,7.6,,0.42,,29.77,195.57,107.3,4.06,10.38,5.8,13.2,29.5803,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86390775,7.1,,0.5,,14.09,191.23,,4.16,7.08,5.77,7.87,29.5803,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86391604,7.9,,0.38,,35.86,398.72,,6.54,27.51,6.97,6.88,29.5803,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86393066,7.2,,0.48,,12.91,168.45,46.59,3.89,7.39,5.8,9.24,29.5803,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86393948,7.4,,0.42,,14.82,217.75,60.17,4.28,8.17,5.87,10.7,29.53249,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Jatan (10),HR61093/2016-17/86394733,7.6,,0.41,,15.2,167.69,81.17,3.96,6.59,5.57,12.93,29.5803,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2016-17/91092849,7.3,,0.39,,12.91,12.91,94.03,0.65,5.39,0.56,2.25,29.5803,76.06141,20/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2016-17/91106854,7.6,,0.26,,26.99,,,1.14,6.93,0.7,7,29.06528,76.0617,20/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2016-17/91226877,7.4,,0.27,,17.69,357.38,,0.85,7.46,0.57,5.6,29.05457,76.06396,20/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2016-17/91245426,7.4,,0.39,,26.66,700.96,,0.93,7.33,0.7,6.87,29.06173,75.60689,20/06/16,,Irrigated,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2018-19/133742178,7.3,0.46,0.12,,5.7,135,9.04,0.5,9.91,1.01,1.38,29.06598,76.0552,05/11/18,,Irrigated Well,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2018-19/133755772,7.6,0.52,0.45,,38.8,200,16.22,0.57,8.74,0.3,9.83,29.06459,76.0637,15/05/18,,Irrigated,27/02/21
Haryana,Hisar,Bhatol Rangran(126),HR61094/2018-19/133775682,7.7,0.65,0.33,,48.6,168,15.6,0.62,8.59,0.28,10.9,29.06624,76.06403,15/05/18,,Irrigated Well,27/02/21
Haryana,Hisar,Bir Hansi((120),HR61080/2016-17/37888514,7.5,0.91,0.23,,19.4,625,,0.36,4.53,0.26,1.26,29.241389,76.046667,03/07/16,,Irrigated,27/02/21
Haryana,Hisar,Bir Hansi((120),HR61080/2016-17/38190454,7.4,,0.27,,15.4,495,,0.61,1.24,0.7,1.79,29.235834,76.058334,06/07/16,,Irrigated,27/02/21
Haryana,Hisar,Bir Hansi((120),HR61080/2016-17/38354790,7.7,0.4,0.26,,11.2,470,48.76,0.65,6.75,0.85,25.72,29.068334,76.146111,16/07/16,,Irrigated,27/02/21
Haryana,Hisar,Bir Hansi((120),HR61080/2016-17/38380214,7.9,,0.35,,15.1,275,,0.79,33.67,1.98,68.99,29.016389,76.226667,21/07/16,,Irrigated,27/02/21
Haryana,Hisar,Bir Hansi((120),HR61080/2016-17/38533076,7.8,,0.23,,29.9,385,106.42,1.68,34.01,1.92,85,29.181389,76.108056,21/07/16,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78317007,7.9,0.96,0.41,,12.37,566.05,,4.18,,1.53,9.55,29.13263,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78317680,7.3,0.36,0.41,,17.06,,,5.4,,1.82,11.65,29.1328,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78318218,7.5,0.29,0.39,,17.62,221.42,,1.82,,1.33,4.57,29.12908,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78319052,7.8,0.45,0.29,,32.77,99.14,44.11,3.2,,1,3.62,29.12474,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78319517,7.7,0.57,0.36,,11.77,167.62,29.16,1.4,,0.32,3.76,29.12596,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78320116,7.4,0.48,0.27,,35.24,76.56,36.71,2.03,,0.49,4.55,29.12456,75.328,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78320636,7.3,,0.39,,25.18,304.19,55.57,2.37,,0.69,5.63,29.12156,75.5422,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78321093,7.3,0.54,0.39,,7.16,299.04,,1.99,,0.85,3.92,29.1209,75.56262,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78321544,7.7,,0.2,,10.45,162.38,53.62,0.85,,0.58,2.54,29.11564,75.53472,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78321975,7.9,0.3,0.38,,23.48,231.62,93.79,1.76,,1.19,5.5,29.11765,75.56562,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2016-17/78322622,7.9,0.69,0.32,,11.77,137.09,73.22,1.64,,0.65,2.65,29.11503,75.55149,27/07/17,,Irrigated Tube well,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134001210,7.4,0.73,0.4,,23.5,280,,0.41,3.25,0.81,2.68,29.13369,75.55756,04/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134041861,7.3,,0.42,,25.5,190,110.2,0.59,3.7,0.76,1.73,29.13145,75.55089,08/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134051681,7.8,,0.4,,16.3,240,25.4,0.65,3.55,0.05,,29.12943,75.56642,12/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134071654,7.3,0.98,0.3,,26.7,140,70.6,0.61,5.62,0.21,1.01,29.12789,75.55659,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134078432,7.6,,0.28,,9.9,240,70.5,0.9,4.93,0.67,1.28,29.12789,75.55659,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134112418,7.5,0.57,0.37,,4.2,240,69.27,0.66,0.66,0.98,4.39,29.12455,75.56237,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134129761,7.5,,0.39,,20,185,50.16,0.93,3.98,0.8,12.95,29.12418,75.56811,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134138485,7.7,0.61,0.27,,9,150,63.16,1.01,6.16,0.86,12.55,29.12159,75.5603,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134144295,7.6,,0.27,,20.3,140,63.52,0.31,5.48,2.39,12.65,29.12159,75.560278,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134151504,7.3,0.84,0.3,,6.5,250,56.14,0.79,5.19,0.69,17.28,29.11708,75.55071,20/04/18,,Irrigated,27/02/21
Haryana,Hisar,Channot(112),HR61057/2018-19/134169408,7.3,0.69,0.36,,17.5,180,69.6,2.24,5.48,0.85,14.58,29.11397,75.4046,16/04/18,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85364166,7.7,,0.39,,90.7,550.08,77.38,1.04,7.12,0.86,10.55,29.15919,75.59274,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85364797,7.3,,0.41,,98.8,565.09,,1.22,2.67,0.74,9.82,29.15721,75.58453,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85365083,7.5,,0.2,,34.29,301.73,50.68,2.12,26.36,1.68,3.82,29.17143,75.59569,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85365702,7.9,,0.47,,30.82,381.25,,0.88,6.34,0.82,9.11,29.15381,76.228,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85366667,7.1,,0.14,,32.82,272.61,50.17,1.47,37.61,1.55,3.71,29.15167,75.59092,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85366870,7.4,,0.3,,6.46,219.81,10.96,0.3,26.02,0.32,3.08,29.15082,76.138,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85367436,7.5,,0.32,,93.7,615.09,,1.18,5.62,0.59,7.38,29.16212,75.58862,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85367705,7.8,,0.48,,31.74,203.73,33.48,1.4,30.96,1.3,2.5,29.16091,76.1111,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85368384,7.1,,0.21,,31.43,228.7,43.66,1.32,30.88,1.25,3.15,29.17225,76.273,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85369048,7.7,,0.38,,6.48,193.38,,1.06,10.77,1.07,3.03,29.16292,76.3181,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85369809,7.5,,0.51,,3.73,7.74,105.46,0.12,6.45,0.55,0.77,29.16294,75.59067,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85370456,7.9,,0.35,,7.23,194.97,86.11,0.96,13.21,0.63,0.65,29.1747,76.156,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2016-17/85370663,7.9,,0.29,,9.7,183.22,94.85,0.74,28.98,0.86,0.98,29.17063,75.59323,06/04/16,,Irrigated Tube well,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/133187405,7.2,0.7,0.31,,11.3,284,36.39,0.61,2.71,0.69,4.1,29.180834,76.000556,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/133542028,7.4,0.83,0.36,,1.7,172,39.67,0.8,2.92,0.63,5.6,29.150278,76.003056,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/133634159,7.7,,0.29,,20,270,40.72,0.83,3.59,0.63,4.92,29.151667,75.583056,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/134111135,7.4,0.6,0.4,,32.5,136,56.6,0.53,4.34,0.65,5.59,29.150278,75.573889,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/134244138,7.6,0.82,0.29,,22.6,220,54.56,0.76,3.37,0.43,4.89,29.175556,76.003889,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/134662975,7.3,0.57,0.3,,16.8,158,22.09,0.64,4.08,0.41,5.52,29.17022,75.59636,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/134710557,7.3,0.84,0.39,,2.5,234,69.6,0.54,4.03,0.63,5.31,29.171667,76.000278,26/04/19,,Irrigated,27/02/21
Haryana,Hisar,Data(83),HR61051/2019-20/134734315,7,0.44,0.31,,21.5,152,33.13,0.79,4.28,0.32,5.81,29.168889,76.010556,26/04/19,,Rainfed,27/02/21
